Total, Tổng cộng
Order, Đơn hàng
Sku, SKU
Continue to shipping, Đến phần vận chuyển
Continue shopping, Tiếp tục mua sắm
Continue Shopping, Tiếp tục mua sắm
CONTINUE SHOPPING, TIẾP TỤC MUA SẮM
Shopping cart, Giỏ hàng
Product, Sản phẩm
Price, Giá
Quantity, Số lượng
Remove, Xóa
Qty, Số lượng
Sub total, Tổng phụ
Discount(${coupon}), Giảm giá(${coupon})
Order summary, Tóm tắt đơn hàng
Taxes and shipping calculated at checkout, Thuế và phí vận chuyển được tính khi thanh toán
CHECKOUT, THANH TOÁN
Change, Thay đổi
Payment Method, Phương thức thanh toán
Shipping Method, Phương thức vận chuyển
No payment methods available, Không có phương thức thanh toán nào khả dụng
Place Order, Mua hàng
My billing address is same as shipping address, Địa chỉ thanh toán của tôi giống với địa chỉ giao hàng
${count} items, ${count} sản phẩm
Discount, Giảm giá
Shipping, Phí vận chuyển
No tax, Không có thuế
Tax, Thuế
Sorry, there is no available method for your address, Xin lỗi, không có phương thức nào khả dụng cho địa chỉ của bạn
Please enter a shipping address in order to see shipping quotes, Vui lòng nhập địa chỉ giao hàng để xem báo giá vận chuyển
Continue to payment, Đến phần thanh toán
No payment method available, Không có phương thức thanh toán nào khả dụng
Ship to, Giao đến
Shipment, Vận chuyển
Thank you ${name}!, Cảm ơn ${name}!
Contact Information, Thông tin liên hệ
Order #${orderNumber}, Đơn hàng #${orderNumber}
ADD TO CART, Thêm vào giỏ hàng
Please select variant options, Vui lòng chọn thuộc tính sản phẩm
VIEW CART (${count}), Xem giỏ hàng (${count})
JUST ADDED TO YOUR CART, Vừa thêm vào giỏ hàng của bạn
Promotion code?, Mã khuyến mãi?
Enter coupon code, Nhập mã khuyến mãi
Apply, Áp dụng
Your cart is empty!, Giỏ hàng của bạn trống!
Your Cart, Giỏ hàng của bạn
Your cart is empty, Giỏ hàng của bạn trống
Subtotal, Tổng phụ
View Cart (${totalQty}), Xem giỏ hàng (${totalQty})
Checkout, Thanh toán
Shopping Cart, Giỏ hàng
Logged in as, Đã đăng nhập với tài khoản
Payment Information, Thông tin thanh toán
Same as shipping address, Giống với địa chỉ giao hàng
Use a different billing address, Sử dụng địa chỉ thanh toán khác
Pick a payment method, Chọn phương thức thanh toán
Select a payment method, Vui lòng chọn phương thức thanh toán
Complete Order, Hoàn tất đơn hàng
Add to Cart, Thêm vào giỏ hàng